word,language
biosphere,en
ecosystem,en
habitat,en
biodiversity,en
species,en
genus,en
family,en
order,en
class,en
phylum,en
kingdom,en
organism,en
cell,en
tissue,en
organ,en
system,en
skeleton,en
muscle,en
skin,en
blood,en
heart,en
lung,en
brain,en
stomach,en
liver,en
kidney,en
intestine,en
bone,en
cartilage,en
joint,en
tendon,en
nerve,en
vein,en
artery,en
capillary,en
hormone,en
enzyme,en
protein,en
carbohydrate,en
lipid,en
vitamin,en
mineral,en
water,en
oxygen,en
carbon,en
hydrogen,en
nitrogen,en
calcium,en
iron,en
potassium,en
sodium,en
magnesium,en
phosphorus,en
sulfur,en
chlorine,en
zinc,en
copper,en
iodine,en
fluorine,en
aluminum,en
lead,en
mercury,en
gold,en
silver,en
bronze,en
steel,en
metal,en
plastic,en
glass,en
ceramic,en
wood,en
paper,en
cardboard,en
fabric,en
cotton,en
wool,en
silk,en
linen,en
synthetic,en
polyester,en
nylon,en
rubber,en
leather,en
stone,en
marble,en
granite,en
limestone,en
clay,en
sand,en
gravel,en
cement,en
concrete,en
brick,en
tile,en
paint,en
varnish,en
glue,en
adhesive,en
solvent,en
fuel,en
gasoline,en
diesel,en
ethanol,en
biodiesel,en
natural gas,en
coal,en
firewood,en
maison,fr
appartement,fr
chambre,fr
cuisine,fr
salle de bain,fr
fenêtre,fr
porte,fr
mur,fr
plafond,fr
sol,fr
table,fr
chaise,fr
canapé,fr
lit,fr
placard,fr
lampe,fr
miroir,fr
tapis,fr
garage,fr
jardin,fr
rue,fr
avenue,fr
quartier,fr
ville,fr
village,fr
pays,fr
champ,fr
plage,fr
montagne,fr
forêt,fr
rivière,fr
mer,fr
île,fr
monde,fr
terre,fr
ciel,fr
soleil,fr
lune,fr
étoile,fr
nuage,fr
pluie,fr
vent,fr
tempête,fr
neige,fr
feu,fr
eau,fr
glace,fr
sable,fr
pierre,fr
animal,fr
chien,fr
chat,fr
cheval,fr
oiseau,fr
poisson,fr
vache,fr
cochon,fr
poulet,fr
insecte,fr
arbre,fr
fleur,fr
feuille,fr
fruit,fr
pomme,fr
banane,fr
orange,fr
raisin,fr
nourriture,fr
riz,fr
haricot,fr
viande,fr
pain,fr
fromage,fr
lait,fr
café,fr
thé,fr
sucre,fr
sel,fr
famille,fr
père,fr
mère,fr
fils,fr
fille,fr
frère,fr
sœur,fr
grand-père,fr
ami,fr
amour,fr
bonheur,fr
tristesse,fr
joie,fr
peur,fr
colère,fr
espoir,fr
vie,fr
mort,fr
temps,fr
jour,fr
nuit,fr
matin,fr
après-midi,fr
semaine,fr
mois,fr
an,fr
aujourd'hui,fr
hier,fr
demain,fr
moment,fr
heure,fr
minute,fr
seconde,fr
beau,fr
information,fr
informer,fr
communication,fr
communauté,fr
éducation,fr
université,fr
étudiant,fr
professeur,fr
école,fr
collège,fr
science,fr
technologie,fr
mathématiques,fr
physique,fr
chimie,fr
biologie,fr
histoire,fr
géographie,fr
philosophie,fr
langue,fr
mot,fr
phrase,fr
texte,fr
livre,fr
lecture,fr
écriture,fr
recherche,fr
étude,fr
connaissance,fr
apprentissage,fr
développement,fr
création,fr
projet,fr
système,fr
programme,fr
ordinateur,fr
internet,fr
logiciel,fr
matériel,fr
code,fr
application,fr
fichier,fr
données,fr
réseau,fr
sécurité,fr
énergie,fr
électricité,fr
machine,fr
ingénierie,fr
industrie,fr
entreprise,fr
commerce,fr
économie,fr
marché,fr
argent,fr
produit,fr
service,fr
client,fr
travail,fr
profession,fr
carrière,fr
expérience,fr
qualité,fr
résultat,fr
processus,fr
méthode,fr
analyse,fr
problème,fr
solution,fr
décision,fr
possibilité,fr
nécessité,fr
important,fr
différent,fr
simple,fr
complexe,fr
rapide,fr
lent,fr
fort,fr
faible,fr
grand,fr
petit,fr
nouveau,fr
vieux,fr
meilleur,fr
pire,fr
développer,fr
parler,fr
dire,fr
raconter,fr
demander,fr
répondre,fr
écouter,fr
entendre,fr
voir,fr
regarder,fr
sentir,fr
penser,fr
se souvenir,fr
oublier,fr
savoir,fr
comprendre,fr
apprendre,fr
enseigner,fr
lire,fr
écrire,fr
créer,fr
faire,fr
faire,fr
utiliser,fr
ouvrir,fr
fermer,fr
entrer,fr
partir,fr
arriver,fr
partir,fr
marcher,fr
courir,fr
sauter,fr
nager,fr
voler,fr
voyager,fr
manger,fr
boire,fr
cuisiner,fr
acheter,fr
vendre,fr
payer,fr
gagner,fr
perdre,fr
trouver,fr
chercher,fr
mettre,fr
prendre,fr
bouger,fr
arrêter,fr
commencer,fr
finir,fr
continuer,fr
changer,fr
grandir,fr
vivre,fr
mourir,fr
aimer,fr
aider,fr
avoir besoin,fr
vouloir,fr
pouvoir,fr
devoir,fr
essayer,fr
attendre,fr
décider,fr
choisir,fr
permettre,fr
recevoir,fr
envoyer,fr
montrer,fr
suivre,fr
retourner,fr
rester,fr
garder,fr
remarquer,fr
résoudre,fr
adaptation,fr
organisation,fr
nation,fr
situation,fr
relation,fr
production,fr
traduction,fr
opération,fr
préparation,fr
présentation,fr
construction,fr
direction,fr
fonction,fr
expression,fr
émotion,fr
mouvement,fr
pensée,fr
sentiment,fr
élément,fr
document,fr
instrument,fr
argument,fr
exemple,fr
modèle,fr
forme,fr
partie,fr
ligne,fr
point,fr
nombre,fr
groupe,fr
ordre,fr
place,fr
question,fr
raison,fr
cas,fr
côté,fr
type,fr
niveau,fr
zone,fr
base,fr
centre,fr
fin,fr
début,fr
milieu,fr
bas,fr
haut,fr
dedans,fr
dehors,fr
près,fr
loin,fr
droit,fr
gauche,fr
ensemble,fr
seul,fr
toujours,fr
jamais,fr
quelque,fr
aucun,fr
beaucoup,fr
peu,fr
plus,fr
moins,fr
encore,fr
maintenant,fr
après,fr
avant,fr
pourquoi,fr
quand,fr
où,fr
comment,fr
oui,fr
non,fr
avocat,fr
médecin,fr
ingénieur,fr
architecte,fr
journaliste,fr
psychologue,fr
administrateur,fr
comptable,fr
designer,fr
programmeur,fr
analyste,fr
consultant,fr
directeur,fr
manager,fr
coordinateur,fr
superviseur,fr
assistant,fr
technicien,fr
spécialiste,fr
chercheur,fr
scientifique,fr
écrivain,fr
poète,fr
artiste,fr
peintre,fr
sculpteur,fr
musicien,fr
chanteur,fr
acteur,fr
actrice,fr
producteur,fr
éditeur,fr
critique,fr
traducteur,fr
interprète,fr
photographe,fr
vidéaste,fr
illustrateur,fr
animateur,fr
développeur,fr
analyste de sécurité,fr
administrateur réseau,fr
support technique,fr
opérateur,fr
mécanicien,fr
électricien,fr
plombier,fr
maçon,fr
charpentier,fr
serrurier,fr
soudeur,fr
géomètre,fr
géologue,fr
archéologue,fr
anthropologue,fr
sociologue,fr
historien,fr
géographe,fr
philosophe,fr
économiste,fr
statisticien,fr
mathématicien,fr
physicien,fr
chimiste,fr
biologiste,fr
biomédical,fr
pharmacien,fr
biochimiste,fr
biologiste médical,fr
agronome,fr
vétérinaire,fr
écologiste,fr
météorologue,fr
océanographe,fr
astronome,fr
pilote,fr
copilote,fr
steward,fr
contrôleur aérien,fr
marin,fr
capitaine,fr
timonier,fr
machiniste,fr
conducteur,fr
camionneur,fr
chauffeur de taxi,fr
cycliste,fr
facteur,fr
livreur,fr
employé,fr
réceptionniste,fr
secrétaire,fr
standardiste,fr
vendeur,fr
conseiller de vente,fr
représentant commercial,fr
gestionnaire de compte,fr
agent immobilier,fr
courtier en assurances,fr
commissaire-priseur,fr
commerçant,fr
entrepreneur,fr
industriel,fr
fermier,fr
pêcheur,fr
cuisinier,fr
chef,fr
confiseur,fr
boulanger,fr
boucher,fr
poissonnier,fr
serveur,fr
serveuse,fr
barman,fr
barista,fr
sommelier,fr
nutritionniste,fr
diététicien,fr
gastronome,fr
hôtelier,fr
guide touristique,fr
agent de voyage,fr
organisateur d'événements,fr
promoteur d'événements,fr
hôtesse,fr
mannequin professionnel,fr
styliste,fr
couturière,fr
tailleur,fr
modéliste,fr
étalagiste,fr
visuel merchandiser,fr
acheteur de mode,fr
coiffeur,fr
barbier,fr
manucure,fr
pédicure,fr
esthéticienne,fr
maquilleur,fr
visagiste,fr
masseur,fr
physiothérapeute,fr
ergothérapeute,fr
orthophoniste,fr
psychopédagogue,fr
neuropsychologue,fr
psychiatre,fr
psychanalyste,fr
infirmier,fr
technicien en soins infirmiers,fr
aide-soignant,fr
ambulancier,fr
dentiste,fr
orthodontiste,fr
endodontiste,fr
parodontiste,fr
chirurgien,fr
anesthésiste,fr
pédiatre,fr
gynécologue,fr
obstétricien,fr
cardiologue,fr
dermatologue,fr
neurologue,fr
orthopédiste,fr
ophtalmologue,fr
oto-rhino-laryngologiste,fr
urologue,fr
oncologue,fr
endocrinologue,fr
gastro-entérologue,fr
pneumologue,fr
néphrologue,fr
hématologue,fr
rhumatologue,fr
infectiologue,fr
gériatre,fr
médecin du travail,fr
médecin légiste,fr
expert médical,fr
juge,fr
procureur,fr
avocat commis d'office,fr
délégué,fr
greffier,fr
inspecteur,fr
enquêteur,fr
gendarme,fr
police civile,fr
police fédérale,fr
garde municipal,fr
pompier,fr
maître-nageur,fr
agent de sécurité,fr
vigile,fr
gardien,fr
concierge,fr
agent d'entretien,fr
femme de ménage,fr
gouvernante,fr
majordome,fr
jardinier,fr
pisciniste,fr
laveur de voitures,fr
pompiste,fr
voiturier,fr
encaisseur,fr
auditeur,fr
analyste fiscal,fr
conseiller fiscal,fr
conseiller financier,fr
planificateur financier,fr
analyste financier,fr
trader,fr
courtier en bourse,fr
banquier,fr
caissier,fr
trésorier,fr
directeur financier,fr
contrôleur de gestion,fr
analyste des coûts,fr
agent de facturation,fr
assistant administratif,fr
analyste rh,fr
recruteur,fr
chasseur de têtes,fr
analyste rémunération,fr
analyste formation,fr
gestionnaire des ressources humaines,fr
directeur rh,fr
psychologue du travail,fr
analyste marketing,fr
community manager,fr
traffic manager,fr
concepteur-rédacteur,fr
directeur artistique,fr
planificateur stratégique,fr
analyste de marque,fr
chef de produit,fr
chef de marque,fr
relations publiques,fr
attaché de presse,fr
lobbyiste,fr
diplomate,fr
ambassadeur,fr
consul,fr
analyste international,fr
traducteur juré,fr
professeur d'université,fr
chercheur scientifique,fr
coordinateur pédagogique,fr
directeur d'école,fr
conseiller pédagogique,fr
inspecteur de l'éducation,fr
surveillant,fr
instituteur,fr
professeur des écoles,fr
professeur de lycée,fr
professeur de langues,fr
professeur de musique,fr
professeur de danse,fr
professeur de théâtre,fr
moniteur d'auto-école,fr
instructeur de vol,fr
instructeur de pilates,fr
instructeur de yoga,fr
coach sportif,fr
préparateur physique,fr
entraîneur de football,fr
entraîneur,fr
athlète professionnel,fr
footballeur,fr
basketteur,fr
volleyeur,fr
joueur de tennis,fr
nageur,fr
coureur,fr
marathonien,fr
cycliste professionnel,fr
combattant,fr
boxeur,fr
judoka,fr
karatéka,fr
escrimeur,fr
gymnaste,fr
surfeur,fr
skateur,fr
pilote de course,fr
jockey,fr
arbitre,fr
juge de ligne,fr
chronométreur,fr
commentateur sportif,fr
journaliste sportif,fr
présentateur,fr
conteur,fr
présentateur tv,fr
reporter,fr
présentateur vedette,fr
animateur radio,fr
concepteur sonore,fr
dj,fr
producteur de musique,fr
ingénieur du son,fr
technicien du son,fr
roadie,fr
concepteur lumière,fr
scénographe,fr
créateur de costumes,fr
habilleur,fr
maquilleur artistique,fr
machiniste de théâtre,fr
guichetier,fr
placeur,fr
vendeur de pop-corn,fr
marchand de glaces,fr
ouvrier confiseur,fr
maître du barbecue,fr
pizzaiolo,fr
maître sushi,fr
crêpier,fr
cuisinier de plancha,fr
vendeur au comptoir,fr
mise en rayon,fr
gestionnaire de stock,fr
contrôleur,fr
trieur,fr
emballeur,fr
chargeur,fr
manœuvre,fr
aide-maçon,fr
ferrailleur,fr
coffreur,fr
paveur,fr
ouvrier routier,fr
conducteur de tractopelle,fr
conducteur de grue,fr
cariste,fr
chauffeur de bus,fr
conducteur d'ambulance,fr
abstrait,fr
concret,fr
absolu,fr
relatif,fr
subjectif,fr
objectif,fr
rationnel,fr
irrationnel,fr
logique,fr
illogique,fr
théorique,fr
pratique,fr
empirique,fr
scientifique,fr
académique,fr
intellectuel,fr
culturel,fr
artistique,fr
littéraire,fr
poétique,fr
musical,fr
visuel,fr
auditif,fr
tactile,fr
olfactif,fr
gustatif,fr
sensoriel,fr
perceptif,fr
cognitif,fr
mental,fr
spirituel,fr
émotionnel,fr
psychologique,fr
social,fr
politique,fr
économique,fr
financier,fr
commercial,fr
industriel,fr
technologique,fr
digital,fr
virtuel,fr
analogique,fr
électronique,fr
mécanique,fr
automatique,fr
manuel,fr
physique,fr
chimique,fr
biologique,fr
écologique,fr
environnemental,fr
naturel,fr
artificiel,fr
synthétique,fr
organique,fr
inorganique,fr
minéral,fr
végétal,fr
animal,fr
humain,fr
divin,fr
sacré,fr
profane,fr
religieux,fr
laïque,fr
athée,fr
agnostique,fr
croyant,fr
fidèle,fr
infidèle,fr
loyal,fr
déloyal,fr
honnête,fr
malhonnête,fr
sincère,fr
faux,fr
vrai,fr
faux,fr
correct,fr
incorrect,fr
juste,fr
injuste,fr
moral,fr
immoral,fr
amoral,fr
éthique,fr
antiéthique,fr
légal,fr
illégal,fr
licite,fr
illicite,fr
valide,fr
invalide,fr
légitime,fr
illégitime,fr
officiel,fr
officieux,fr
public,fr
privé,fr
particulier,fr
collectif,fr
individuel,fr
personnel,fr
impersonnel,fr
universel,fr
général,fr
spécifique,fr
spécial,fr
commun,fr
rare,fr
fréquent,fr
rare,fr
occasionnel,fr
sporadique,fr
constant,fr
variable,fr
permanent,fr
temporaire,fr
provisoire,fr
définitif,fr
éphémère,fr
durable,fr
éternel,fr
fini,fr
infini,fr
limité,fr
illimité,fr
restreint,fr
sans restriction,fr
vaste,fr
étroit,fr
large,fr
long,fr
court,fr
haut,fr
bas,fr
profond,fr
superficiel,fr
externe,fr
interne,fr
intérieur,fr
extérieur,fr
central,fr
périphérique,fr
marginal,fr
urbain,fr
rural,fr
local,fr
régional,fr
national,fr
international,fr
global,fr
mondial,fr
cosmique,fr
spatial,fr
temporel,fr
chronologique,fr
historique,fr
actuel,fr
moderne,fr
contemporain,fr
ancien,fr
vieux,fr
jeune,fr
adulte,fr
infantile,fr
juvénile,fr
sénile,fr
paternel,fr
maternel,fr
fraternel,fr
familial,fr
conjugal,fr
communautaire,fr
coopératif,fr
compétitif,fr
solidaire,fr
égoïste,fr
altruiste,fr
généreux,fr
avare,fr
pensif,fr
dépensier,fr
prudent,fr
imprudent,fr
prudent,fr
audacieux,fr
courageux,fr
lâche,fr
timide,fr
extraverti,fr
introverti,fr
sociable,fr
antisocial,fr
sympathique,fr
antipathique,fr
agréable,fr
désagréable,fr
aimable,fr
hostile,fr
amical,fr
agressif,fr
pacifique,fr
calme,fr
nerveux,fr
tranquille,fr
agité,fr
serein,fr
anxieux,fr
patient,fr
impatient,fr
tolérant,fr
intolérant,fr
compréhensif,fr
insensible,fr
sensible,fr
froid,fr
chaud,fr
affectueux,fr
indifférent,fr
apathique,fr
enthousiaste,fr
motivé,fr
démotivé,fr
intéressé,fr
désintéressé,fr
curieux,fr
attentif,fr
distrait,fr
concentré,fr
dispersé,fr
organisé,fr
désorganisé,fr
méthodique,fr
chaotique,fr
propre,fr
sale,fr
pur,fr
pollué,fr
contaminé,fr
sain,fr
malade,fr
malade,fr
fort,fr
faible,fr
résistant,fr
fragile,fr
durable,fr
cassant,fr
solide,fr
liquide,fr
gazeux,fr
fluide,fr
visqueux,fr
dense,fr
lourd,fr
léger,fr
masse,fr
volume,fr
densité,fr
pression,fr
température,fr
chaleur,fr
froid,fr
climat,fr
météo,fr
atmosphère,fr
biosphère,fr
écosystème,fr
habitat,fr
biodiversité,fr
espèce,fr
genre,fr
famille,fr
ordre,fr
classe,fr
phylum,fr
règne,fr
organisme,fr
cellule,fr
tissu,fr
organe,fr
système,fr
squelette,fr
muscle,fr
peau,fr
sang,fr
cœur,fr
poumon,fr
cerveau,fr
estomac,fr
foie,fr
rein,fr
intestin,fr
os,fr
cartilage,fr
articulation,fr
tendon,fr
nerf,fr
veine,fr
artère,fr
capillaire,fr
hormone,fr
enzyme,fr
protéine,fr
glucide,fr
lipide,fr
vitamine,fr
minéral,fr
eau,fr
oxygène,fr
carbone,fr
hydrogène,fr
azote,fr
calcium,fr
fer,fr
potassium,fr
sodium,fr
magnésium,fr
phosphore,fr
soufre,fr
chlore,fr
zinc,fr
cuivre,fr
iode,fr
fluor,fr
aluminium,fr
plomb,fr
mercure,fr
or,fr
argent,fr
bronze,fr
acier,fr
métal,fr
plastique,fr
verre,fr
céramique,fr
bois,fr
papier,fr
carton,fr
tissu,fr
coton,fr
laine,fr
soie,fr
lin,fr
synthétique,fr
polyester,fr
nylon,fr
caoutchouc,fr
cuir,fr
pierre,fr
marbre,fr
granit,fr
calcaire,fr
argile,fr
sable,fr
gravier,fr
ciment,fr
béton,fr
brique,fr
tuile,fr
peinture,fr
vernis,fr
colle,fr
adhésif,fr
solvant,fr
carburant,fr
essence,fr
diesel,fr
éthanol,fr
biodiesel,fr
gaz naturel,fr
charbon,fr
bois de chauffage,fr
